76,51589.87,84554.92,438,56,8.62,-32965.05,-635359.87,1732518601204
77,73520.05,0.00,0,0,1.12,73520.05,-668324.92,1732518614333
78,74449.82,153884.98,436,117,5.15,-79435.16,-594804.87,1732518638180
79,54132.58,29983.07,418,234,2.92,24149.51,-674240.03,1732518657909
80,53654.30,13166.35,443,358,2.06,40487.95,-650090.52,1732518675384
81,51087.73,5816.54,398,340,1.77,45271.19,-609602.57,1732518691712
82,55369.91,22729.54,423,297,2.32,32640.37,-564331.38,1732518709940
83,46605.48,126990.72,483,76,6.52,-80385.24,-531691.01,1732518735743
84,36103.05,224.70,470,468,1.03,35878.35,-612076.25,1732518748327
85,29965.02,24140.73,442,292,2.66,5824.29,-576197.90,1732518767443
86,33253.54,0.00,0,0,1.09,33253.54,-570373.61,1732518780296
87,33395.29,104951.97,473,37,12.31,-71556.68,-537120.07,1732518812516
88,47525.33,4335.54,445,408,1.7,43189.79,-608676.75,1732518828766
89,61135.47,3612.75,464,425,1.61,57522.72,-565486.96,1732518844650
90,35268.83,42230.23,436,213,3.29,-6961.40,-507964.24,1732518864977
91,46957.75,0.00,0,0,1.09,46957.75,-514925.64,1732518877823
92,35355.90,147442.84,449,5,22.83,-112086.94,-467967.89,1732518918317
93,39040.96,164359.19,437,46,11.04,-125318.23,-580054.83,1732518949310
94,26073.04,105844.13,423,4,17.15,-79771.09,-705373.06,1732518985689
95,29267.63,4601.42,448,399,1.83,24666.21,-785144.15,1732519002501
96,47097.84,4365.07,373,334,1.56,42732.77,-760477.94,1732519018614
97,47189.15,29263.95,359,202,2.78,17925.20,-717745.17,1732519038219
98,34846.57,130407.12,453,23,12.21,-95560.55,-699819.97,1732519070343
99,58799.24,1898.22,455,430,1.54,56901.02,-795380.52,1732519085745
100,35474.37,32927.18,415,207,3.2,2547.19,-738479.50,1732519106299
101,33263.27,13305.12,454,353,2.09,19958.15,-735932.31,1732519123639
102,32655.10,44272.97,432,207,3.15,-11617.87,-715974.16,1732519143672
103,42074.41,1053.22,498,494,1.08,41021.19,-727592.03,1732519156605
104,35862.53,37489.77,452,249,3.13,-1627.24,-686570.84,1732519176785
105,51840.67,19065.73,493,423,1.81,32774.94,-688198.08,1732519193221
106,46025.20,16883.34,509,418,1.91,29141.86,-655423.14,1732519210437
107,55823.36,21936.69,485,407,1.89,33886.67,-626281.28,1732519227573
108,47745.47,176919.99,461,8,17.2,-129174.52,-592394.61,1732519263962
109,48213.38,2625.99,470,455,1.4,45587.39,-721569.13,1732519279137
110,30914.82,3669.40,433,402,1.39,27245.42,-675981.74,1732519294059
111,29726.61,1045.95,393,378,1.19,28680.66,-648736.32,1732519307804
112,35283.37,26001.54,377,198,2.99,9281.83,-620055.66,1732519327691
113,56480.00,10058.30,477,472,1.16,46421.70,-610773.83,1732519341164
114,44614.71,34545.12,448,250,2.7,10069.59,-564352.13,1732519360380
115,35404.61,41040.93,461,221,2.92,-5636.32,-554282.54,1732519380099
116,38810.02,12517.52,469,385,1.86,26292.50,-559918.86,1732519397126
117,31499.79,68404.04,423,92,5.66,-36904.25,-533626.36,1732519421724
118,31494.81,25575.37,460,286,2.5,5919.44,-570530.61,1732519440627
119,25603.69,39054.23,420,141,3.75,-13450.54,-564611.17,1732519462086
120,62244.85,2794.73,475,421,1.58,59450.12,-578061.71,1732519477867
121,59227.38,10555.60,429,346,1.92,48671.78,-518611.59,1732519494894
122,63535.04,789.75,445,428,1.46,62745.29,-469939.81,1732519510151
123,66758.50,0.00,0,0,1,66758.50,-407194.52,1732519521113
